dataset	task	method_a	method_b	n_images	mean_difference_a_minus_b_pp	paired_bootstrap_95ci_low_pp	paired_bootstrap_95ci_high_pp	wilcoxon_p_raw	wilcoxon_p_holm_within_cell	wilcoxon_p_holm_global_60
MULTICENTRE	OFD	Proposed-DINOv3	RTMPose-s	1189	0.07150323	-0.23108263	0.38179228	0.151358835544	0.151358835544	1
MULTICENTRE	OFD	HRNet-W18	RTMPose-s	1189	-0.88697418	-1.24197453	-0.54894630	2.86038325208e-33	1.14415330083e-32	1.54460695612e-31
MULTICENTRE	APAD	Proposed-DINOv2	Proposed-DINOv3	161	-0.11812140	-0.59420348	0.33302000	0.559222735988	1	1
MULTICENTRE	APAD	Proposed-DINOv2	HRNet-W18	161	-1.89795810	-2.71027586	-1.14522103	1.47849787094e-05	5.91399148376e-05	0.000413979403863
MULTICENTRE	APAD	Proposed-DINOv2	RTMPose-s	161	-1.89436695	-2.90941420	-1.02504252	1.77523212847e-06	1.06513927708e-05	5.85826602395e-05
MULTICENTRE	APAD	Proposed-DINOv3	HRNet-W18	161	-1.77983670	-2.52551192	-1.08266457	0.000210828300511	0.000632484901533	0.00527070751277
MULTICENTRE	APAD	Proposed-DINOv3	RTMPose-s	161	-1.77624555	-2.62157193	-1.02259595	6.30652683797e-06	3.15326341898e-05	0.000182889278301
MULTICENTRE	APAD	HRNet-W18	RTMPose-s	161	0.00359115	-0.89083842	0.87317216	0.830926805423	1	1
MULTICENTRE	TAD	Proposed-DINOv2	Proposed-DINOv3	161	0.10591330	-0.81013520	1.00420713	0.727433869456	1	1
MULTICENTRE	TAD	Proposed-DINOv2	HRNet-W18	161	0.07087031	-0.73858281	0.89434094	0.80862014941	1	1
MULTICENTRE	TAD	Proposed-DINOv2	RTMPose-s	161	-0.39846587	-1.75301237	0.75901696	0.914647378526	1	1
MULTICENTRE	TAD	Proposed-DINOv3	HRNet-W18	161	-0.03504299	-0.69056063	0.63455067	0.564344261196	1	1
MULTICENTRE	TAD	Proposed-DINOv3	RTMPose-s	161	-0.50437917	-1.95953551	0.66474248	0.94550070612	1	1
MULTICENTRE	TAD	HRNet-W18	RTMPose-s	161	-0.46933618	-1.93671764	0.66610744	0.358077545244	1	1
MULTICENTRE	FL	Proposed-DINOv2	Proposed-DINOv3	362	0.06552603	-0.14630127	0.28755204	0.62778373425	0.62778373425	1
MULTICENTRE	FL	Proposed-DINOv2	HRNet-W18	362	-0.15485626	-0.74195618	0.30408747	6.18426490989e-08	1.85527947297e-07	2.41186331486e-06
MULTICENTRE	FL	Proposed-DINOv2	RTMPose-s	362	-2.17410617	-4.99773269	-0.59436664	6.19124200318e-15	3.09562100159e-14	3.15753342162e-13
MULTICENTRE	FL	Proposed-DINOv3	HRNet-W18	362	-0.22038229	-0.82284134	0.23225207	6.26875980248e-07	1.2537519605e-06	2.19406593087e-05
MULTICENTRE	FL	Proposed-DINOv3	RTMPose-s	362	-2.23963220	-5.15909173	-0.55859758	9.18372703947e-12	3.67349081579e-11	4.31635170855e-10
MULTICENTRE	FL	HRNet-W18	RTMPose-s	362	-2.01924991	-4.80293016	-0.49608539	3.25856558203e-26	1.95513934922e-25	1.69445410266e-24
